DTE | {'공시': 166, '계산(부채및자본-총자본)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 1, '계산(부채및자본-총자본)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
WSM | {'공시': 152, '공시(비지배 없음)': 27, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '공시(재작성 반영)': 15, '공시(비지배 없음)(재작성 반영)': 3, '계산(연간-3분기누적)(재작성 반영)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
FE | {'공시': 172, '계산(부채및자본-총자본)': 16, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '공시(비지배 없음)': 9, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q4'] | 2s
CPAY | {'공시': 142, '계산(부채및자본-총자본)': 27, '공시(비지배 없음)': 20, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 19, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 5, '계산(부채및자본-총자본)(재작성 반영)': 3, '계산(누적차감)(재작성 반영)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q4'] | 2s
OTIS | {'미확인': 44, '공시': 167, '계산(총자본-비지배)': 1, 'API': 26, '공시(표지 기준일)': 26, '계산(종가×주식수)': 26, '계산(누적차감)': 19, '계산(연간-3분기누적)': 18, '공시(재작성 반영)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
LH | {'공시': 159, '공시(비지배 없음)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '공시(재작성 반영)': 8, '계산(연간-3분기누적)': 21, '공시(비지배 없음)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q4'] | 25s
LVS | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
SMCI | {'공시': 193, '계산(누적차감)': 21, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24, '계산(누적차감)(재작성 반영)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
ES | {'공시': 128, '공시(재작성 반영)': 1, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)(재작성 반영)': 1, '계산(누적차감)': 21, '계산(연간-3분기누적)': 18, '계산(연간(연결-비지배)-3분기누적)': 3, '계산(연결-비지배)': 8} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
WST | {'공시': 163, '공시(비지배 없음)': 34, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 20, '계산(연간-3분기누적, 비지배 없음)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
DOV | {'공시': 138, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
