PPG | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '미확인': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
ULTA | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
VRSK | {'공시': 189, '공시(비지배 없음)': 8, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
TPR | {'공시': 162, '공시(재작성 반영)': 1, '계산(누적차감)(재작성 반영)': 2, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 23, '계산(연간-3분기누적)(재작성 반영)': 1, '계산(누적차감)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
GPN | {'공시': 196, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 21, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 1, '계산(누적차감)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
CHD | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
CASY | {'계산(연간-3분기누적)': 16, '미확인': 30, '계산(누적차감)(재작성 반영)': 1, '공시': 142, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
JBHT | {'공시': 144, '계산(부채및자본-총자본)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
PHM | {'공시': 139, '미확인': 31, '공시(재작성 반영)': 4, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)(재작성 반영)': 5, '계산(연간-3분기누적)': 12, '계산(누적차감)': 17, '계산(연간-3분기누적)(재작성 반영)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
OMC | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
NRG | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
EIX | {'공시': 181, '공시(비지배 없음)': 13, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '공시(재작성 반영)': 3, '미확인': 1, '계산(연간-3분기누적, 비지배 없음)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2020Q2'] | 3s
IFF | {'공시': 161, '공시(재작성 반영)': 6, '계산(부채및자본-총자본)': 21, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 7, '계산(부채및자본-총자본)(재작성 반영)': 9} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
FSLR | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
DLTR | {'공시': 167, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '공시(비지배 없음)': 29, '계산(연간-3분기누적)': 20, '공시(재작성 반영)': 1, '계산(연간-3분기누적)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
PKG | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
DOW | {'공시': 142, '미확인': 30, '계산(부채및자본-총자본)(재작성 반영)': 1, '공시(재작성 반영)': 2, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(부채및자본-총자본)': 29, '계산(연간-3분기누적)': 7, '계산(연간(연결-비지배)-3분기누적)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
FICO | {'공시': 166, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q2'] | 3s
CMS | {'공시': 165, '공시(비지배 없음)': 2, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
STZ | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 194, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 33s
재작성 기록: {'재분류(미반영)': 79, '재작성 검증 실패(원 공시 유지)': 19, '재작성 반영': 41}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
