VLO | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
PH | {'공시': 171, '계산(연결-비지배)': 20, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 16, '계산(연간(연결-비지배)-3분기누적)': 8, '공시(비지배 없음)': 2} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
MDT | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 194, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
MO | {'공시': 194, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q4', '2020Q4', '2021Q4', '2022Q4', '2023Q4', '2024Q4', '2025Q4'] | 10s
CVS | {'공시': 196, '계산(연결-비지배)': 1, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
SBUX | {'공시': 196, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q4'] | 5s
PSX | {'공시': 174, '미확인': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
LOW | {'공시': 171, '공시(비지배 없음)': 26, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
ADP | {'공시': 146, '미확인': 30, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 16, '공시(비지배 없음)': 25} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
SYK | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
APP | {'미확인': 88, '공시': 123, '공시(비지배 없음)': 22, '데이터 없음(상장 전)': 3, '계산(누적차감)': 16, 'API': 21, '공시(표지 기준일)': 21, '계산(종가×주식수)': 21, '계산(연간-3분기누적)': 15} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 18s
FCX | {'공시': 175, '계산(연결-비지배)': 22, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q4'] | 7s
MCK | {'계산(연간-3분기누적)': 24, '계산(누적차감)': 22, '공시': 164, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
ABNB | {'미확인': 87, 'API': 23, '공시': 123, '공시(비지배 없음)': 22, '공시(표지 기준일)': 22, '계산(종가×주식수)': 22, '계산(누적차감)': 16, '계산(연간-3분기누적)': 15} | 검증실패 [('2020Q4', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 없음 | 21s
ADBE | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
SO | {'공시': 159, '계산(연결-비지배)': 15, '공시(비지배 없음)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15, '계산(연간(연결-비지배)-3분기누적)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 10s
VRT | {'공시': 155, '미확인': 17, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 19, '공시(비지배 없음)': 27} | 검증실패 [('2019Q1', '자산=부채+자본'), ('2019Q2', '자산=부채+자본'), ('2019Q3', '자산=부채+자본')] | 라벨중복 없음 | 정정판본 ['2020Q4'] | 9s
PWR | {'공시': 195, '계산(연결-비지배)': 2, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 8s
APH | {'공시': 186, '계산(부채및자본-총자본)': 11, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
GD | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 9s
rows: 6600 | 빈 값: 0 | 빈 출처: 0
