EW | {'공시': 157, '공시(보통주 귀속)': 13, '계산(부채및자본-총자본)': 10, '공시(비지배 없음)': 17, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '계산(연간-3분기누적, 보통주 귀속)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
EBAY | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q4', '2021Q4', '2022Q4', '2023Q4', '2024Q4', '2025Q1'] | 5s
CIEN | {'공시': 172, '계산(누적차감)': 22, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21, '데이터 없음(직전 보고서 없음)': 1, '공시(비지배 없음)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
BDX | {'공시': 136, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
WAB | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
VST | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2019Q1'] | 3s
WDAY | {'공시': 162, '공시(비지배 없음)': 35, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 20, '계산(연간-3분기누적, 비지배 없음)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 23s
ETR | {'공시': 143, '공시(비지배 없음)': 24, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 15, '계산(연간-3분기누적, 비지배 없음)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
라벨 보완: CIK 0000866787, 겹치던 라벨 8개 → 순차 배정
AZO | {'공시': 136, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
PYPL | {'공시': 183, '공시(비지배 없음)': 14, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
