기업,종목코드,기간,기준일,항목,값(원),값구분,출처
LG화학,051910,2019Q1,2019-03-31,분기말 자산총계,31212285000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기말 부채총계,14012994000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기말 총자본(자기자본),17199291000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기별 매출액,6639073000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기별 영업이익,275367000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기별 당기순이익(지배),194487000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기별 영업활동현금흐름,644208000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기말 지배지분 자본,16932873000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q1,2019-03-31,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q1,2019-03-31,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q1,2019-03-31,분기말 시가총액,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q2,2019-06-30,분기말 자산총계,32435547000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기말 부채총계,15156692000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기말 총자본(자기자본),17278855000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기별 매출액,7177444000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기별 영업이익,267515000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기별 당기순이익(지배),68088000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기별 영업활동현금흐름,246228000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001582
LG화학,051910,2019Q2,2019-06-30,분기말 지배지분 자본,17021849000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q2,2019-06-30,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q2,2019-06-30,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q2,2019-06-30,분기말 시가총액,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LG화학,051910,2019Q3,2019-09-30,분기말 자산총계,33530759000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기말 부채총계,16039976000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기말 총자본(자기자본),17490783000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기별 매출액,7347303000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기별 영업이익,380274000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기별 당기순이익(지배),128555000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
LG화학,051910,2019Q3,2019-09-30,분기별 영업활동현금흐름,394509000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002592
LG화학,051910,2019Q3,2019-09-30,분기말 지배지분 자본,17175932000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002713
